sensorcount,timestamp,hr
1.64604355421e+12,2022-02-28 11:19:14.210000,67
1.64604355446e+12,2022-02-28 11:19:14.456000,67
1.6460435547e+12,2022-02-28 11:19:14.703000,67
1.64604355495e+12,2022-02-28 11:19:14.949000,67
1.6460435552e+12,2022-02-28 11:19:15.195000,67
1.64604355544e+12,2022-02-28 11:19:15.442000,67
1.64604355569e+12,2022-02-28 11:19:15.688000,67
1.64604355594e+12,2022-02-28 11:19:15.934000,67
1.64604355618e+12,2022-02-28 11:19:16.181000,67
1.64604355643e+12,2022-02-28 11:19:16.427000,67
1.64604355667e+12,2022-02-28 11:19:16.673000,66
1.64604355692e+12,2022-02-28 11:19:16.919000,66
1.64604355717e+12,2022-02-28 11:19:17.165000,66
1.64604355741e+12,2022-02-28 11:19:17.411000,65
1.64604355766e+12,2022-02-28 11:19:17.658000,65
1.64604355791e+12,2022-02-28 11:19:17.904000,65
1.64604355815e+12,2022-02-28 11:19:18.150000,65
1.6460435584e+12,2022-02-28 11:19:18.397000,65
1.64604355864e+12,2022-02-28 11:19:18.643000,65
1.64604355889e+12,2022-02-28 11:19:18.890000,65
1.64604355914e+12,2022-02-28 11:19:19.136000,65
1.64604355938e+12,2022-02-28 11:19:19.382000,66
1.64604355963e+12,2022-02-28 11:19:19.629000,66
1.64604355988e+12,2022-02-28 11:19:19.875000,66
1.64604356012e+12,2022-02-28 11:19:20.120000,67
1.64604356037e+12,2022-02-28 11:19:20.367000,67
1.64604356061e+12,2022-02-28 11:19:20.613000,67
1.64604356086e+12,2022-02-28 11:19:20.859000,67
1.64604356111e+12,2022-02-28 11:19:21.106000,68
1.64604356135e+12,2022-02-28 11:19:21.352000,68
1.6460435616e+12,2022-02-28 11:19:21.598000,68
1.64604356185e+12,2022-02-28 11:19:21.845000,69
1.64604356209e+12,2022-02-28 11:19:22.091000,69
1.64604356234e+12,2022-02-28 11:19:22.337000,69
1.64604356258e+12,2022-02-28 11:19:22.583000,70
1.64604356283e+12,2022-02-28 11:19:22.830000,70
1.64604356308e+12,2022-02-28 11:19:23.076000,70
1.64604356332e+12,2022-02-28 11:19:23.322000,70
1.64604356357e+12,2022-02-28 11:19:23.569000,69
1.64604356382e+12,2022-02-28 11:19:23.815000,69
1.64604356406e+12,2022-02-28 11:19:24.061000,69
1.64604356431e+12,2022-02-28 11:19:24.308000,69
1.64604356455e+12,2022-02-28 11:19:24.553000,68
1.6460435648e+12,2022-02-28 11:19:24.799000,68
1.64604356505e+12,2022-02-28 11:19:25.046000,68
1.64604356529e+12,2022-02-28 11:19:25.292000,68
1.64604356554e+12,2022-02-28 11:19:25.538000,68
1.64604356579e+12,2022-02-28 11:19:25.785000,68
1.64604356603e+12,2022-02-28 11:19:26.031000,68
1.64604356628e+12,2022-02-28 11:19:26.277000,68
1.64604356653e+12,2022-02-28 11:19:26.525000,68
1.64604356677e+12,2022-02-28 11:19:26.770000,68
1.64604356702e+12,2022-02-28 11:19:27.016000,68
1.64604356726e+12,2022-02-28 11:19:27.263000,67
1.64604356751e+12,2022-02-28 11:19:27.509000,67
1.64604356776e+12,2022-02-28 11:19:27.755000,67
1.646043568e+12,2022-02-28 11:19:28.002000,67
1.64604356825e+12,2022-02-28 11:19:28.247000,67
1.64604356849e+12,2022-02-28 11:19:28.494000,67
1.64604356874e+12,2022-02-28 11:19:28.740000,67
1.64604356899e+12,2022-02-28 11:19:28.986000,68
1.64604356923e+12,2022-02-28 11:19:29.233000,68
1.64604356948e+12,2022-02-28 11:19:29.479000,68
1.64604356973e+12,2022-02-28 11:19:29.725000,69
1.64604357022e+12,2022-02-28 11:19:30.218000,69
1.64604357047e+12,2022-02-28 11:19:30.464000,69
1.64604357071e+12,2022-02-28 11:19:30.711000,69
1.64604357096e+12,2022-02-28 11:19:30.957000,69
1.6460435712e+12,2022-02-28 11:19:31.203000,69
1.64604357145e+12,2022-02-28 11:19:31.450000,71
1.64604357194e+12,2022-02-28 11:19:31.941000,71
1.64604357219e+12,2022-02-28 11:19:32.188000,71
1.64604357243e+12,2022-02-28 11:19:32.434000,72
1.64604357268e+12,2022-02-28 11:19:32.681000,72
1.64604357293e+12,2022-02-28 11:19:32.927000,72
1.64604357317e+12,2022-02-28 11:19:33.173000,71
1.64604357342e+12,2022-02-28 11:19:33.419000,71
1.64604357367e+12,2022-02-28 11:19:33.666000,71
1.64604357391e+12,2022-02-28 11:19:33.912000,71
1.64604357416e+12,2022-02-28 11:19:34.158000,70
1.64604357441e+12,2022-02-28 11:19:34.405000,70
1.64604357465e+12,2022-02-28 11:19:34.651000,70
1.6460435749e+12,2022-02-28 11:19:34.897000,70
1.64604357514e+12,2022-02-28 11:19:35.144000,70
1.64604357539e+12,2022-02-28 11:19:35.389000,70
1.64604357564e+12,2022-02-28 11:19:35.635000,70
1.64604357588e+12,2022-02-28 11:19:35.882000,69
1.64604357613e+12,2022-02-28 11:19:36.128000,69
1.64604357638e+12,2022-02-28 11:19:36.374000,69
1.64604357662e+12,2022-02-28 11:19:36.621000,69
1.64604357687e+12,2022-02-28 11:19:36.867000,69
1.64604357711e+12,2022-02-28 11:19:37.114000,69
1.64604357736e+12,2022-02-28 11:19:37.360000,69
1.64604357761e+12,2022-02-28 11:19:37.606000,69
1.64604357785e+12,2022-02-28 11:19:37.853000,69
